Age,Occupation,Sex,Capital gain,Capital loss,Hours per week,Income
39, Adm-clerical, Male,2174,0,40, <=50K
50, Exec-managerial, Male,0,0,13, <=50K
38, Handlers-cleaners, Male,0,0,40, <=50K
53, Handlers-cleaners, Male,0,0,40, <=50K
28, Prof-specialty, Female,0,0,40, <=50K
37, Exec-managerial, Female,0,0,40, <=50K
49, Other-service, Female,0,0,16, <=50K
52, Exec-managerial, Male,0,0,45, >50K
31, Prof-specialty, Female,14084,0,50, >50K
42, Exec-managerial, Male,5178,0,40, >50K
37, Exec-managerial, Male,0,0,80, >50K
30, Prof-specialty, Male,0,0,40, >50K
23, Adm-clerical, Female,0,0,30, <=50K
32, Sales, Male,0,0,50, <=50K
34, Transport-moving, Male,0,0,45, <=50K
25, Farming-fishing, Male,0,0,35, <=50K
32, Machine-op-inspct, Male,0,0,40, <=50K
38, Sales, Male,0,0,50, <=50K
43, Exec-managerial, Female,0,0,45, >50K
40, Prof-specialty, Male,0,0,60, >50K
54, Other-service, Female,0,0,20, <=50K
35, Farming-fishing, Male,0,0,40, <=50K
43, Transport-moving, Male,0,2042,40, <=50K
59, Tech-support, Female,0,0,40, <=50K
56, Tech-support, Male,0,0,40, >50K
19, Craft-repair, Male,0,0,40, <=50K
39, Exec-managerial, Male,0,0,80, <=50K
49, Craft-repair, Male,0,0,40, <=50K
23, Protective-serv, Male,0,0,52, <=50K
20, Sales, Male,0,0,44, <=50K
45, Exec-managerial, Male,0,1408,40, <=50K
30, Adm-clerical, Male,0,0,40, <=50K
22, Other-service, Male,0,0,15, <=50K
48, Machine-op-inspct, Male,0,0,40, <=50K
21, Machine-op-inspct, Male,0,0,40, <=50K
19, Adm-clerical, Female,0,0,25, <=50K
48, Prof-specialty, Male,0,0,40, <=50K
31, Machine-op-inspct, Male,0,0,43, <=50K
53, Prof-specialty, Male,0,0,40, <=50K
24, Tech-support, Male,0,0,50, <=50K
49, Adm-clerical, Female,0,0,40, <=50K
25, Handlers-cleaners, Male,0,0,35, <=50K
57, Prof-specialty, Male,0,0,40, >50K
53, Machine-op-inspct, Male,0,0,38, <=50K
44, Exec-managerial, Female,0,0,40, <=50K
41, Craft-repair, Male,0,0,40, <=50K
29, Prof-specialty, Male,0,0,43, <=50K
